operation_uid,api_name,method,path,operation_id,summary,description,parameters_count,has_request_body,response_codes,source_file,selected_for_experiment,selected_for_pilot
sendgrid_DELETE_suppression_spam_reports_email,sendgrid,DELETE,/suppression/spam_reports/{email},DELETE_suppression-spam_reports-email,Delete a specific spam report,"**This endpoint allows you to delete a specific spam report by email address.**

Deleting a spam report will remove the suppression, meaning email will once again be sent to the previously suppressed address. This should be avoided unless a recipient indicates they wish to receive email from you again. You can use our [bypass filters](https://sendgrid.com/docs/ui/sending-email/index-suppressions/#bypass-suppressions) to deliver messages to otherwise suppressed addresses when exceptions are required.",1,False,204,datasets\openapi\sendgrid\openapi.json,True,False
spotify_DELETE_me_shows,spotify,DELETE,/me/shows,remove-shows-user,"Remove User's Saved Shows
","Delete one or more shows from current Spotify user's library.
",2,False,200|401|403|429,datasets\openapi\spotify\openapi.json,True,True
spotify_GET_audiobooks_id,spotify,GET,/audiobooks/{id},get-an-audiobook,"Get an Audiobook
","Get Spotify catalog information for a single audiobook.<br />
**Note: Audiobooks are only available for the US, UK, Ireland, New Zealand and Australia markets.**
",2,False,200|401|403|429,datasets\openapi\spotify\openapi.json,True,False
sendgrid_GET_user_webhooks_parse_settings,sendgrid,GET,/user/webhooks/parse/settings,GET_user-webhooks-parse-settings,Retrieve all parse settings,**This endpoint allows you to retrieve all of your current inbound parse settings.**,1,False,200|401|403|404|500,datasets\openapi\sendgrid\openapi.json,True,False
sendgrid_DELETE_contactdb_lists,sendgrid,DELETE,/contactdb/lists,DELETE_contactdb-lists,Delete Multiple lists,**This endpoint allows you to delete multiple recipient lists.**,1,True,204|400|401,datasets\openapi\sendgrid\openapi.json,True,False
sendgrid_DELETE_campaigns_campaign_id_schedules,sendgrid,DELETE,/campaigns/{campaign_id}/schedules,DELETE_campaigns-campaign_id-schedules,Unschedule a Scheduled Campaign,"**This endpoint allows you to unschedule a campaign that has already been scheduled to be sent.**

A successful unschedule will return a 204.
If the specified campaign is in the process of being sent, the only option is to cancel (a different method).",1,False,204|403|404,datasets\openapi\sendgrid\openapi.json,True,True
sendgrid_GET_asm_suppressions,sendgrid,GET,/asm/suppressions,GET_asm-suppressions,Retrieve all suppressions,**This endpoint allows you to retrieve a list of all suppressions.**,1,False,200,datasets\openapi\sendgrid\openapi.json,True,False
spotify_GET_playlists_playlist_id_images,spotify,GET,/playlists/{playlist_id}/images,get-playlist-cover,"Get Playlist Cover Image
","Get the current image associated with a specific playlist.
",1,False,200|401|403|429,datasets\openapi\spotify\openapi.json,True,False
sendgrid_PATCH_user_webhooks_event_settings_signed,sendgrid,PATCH,/user/webhooks/event/settings/signed,PATCH_user-webhooks-event-settings-signed,Enable/Disable Signed Webhook,"**This endpoint allows you to enable or disable signing of the Event Webhook.**

This endpoint takes a single boolean request parameter, `enabled`. You may either enable or disable signing of the Event Webhook using this endpoint. Once enabled, you can retrieve your public key using the `/webhooks/event/settings/signed` endpoint.

For more information about cryptographically signing the Event Webhook, see [Getting Started with the Event Webhook Security Features](https://sendgrid.com/docs/for-developers/tracking-events/getting-started-event-webhook-security-features).",1,True,200|400|401|500,datasets\openapi\sendgrid\openapi.json,True,True
spotify_PUT_me_player_repeat,spotify,PUT,/me/player/repeat,set-repeat-mode-on-users-playback,"Set Repeat Mode
","Set the repeat mode for the user's playback. Options are repeat-track,
repeat-context, and off.
",2,False,204|401|403|429,datasets\openapi\spotify\openapi.json,True,False
sendgrid_GET_templates_template_id_versions_version_id,sendgrid,GET,/templates/{template_id}/versions/{version_id},GET_templates-template_id-versions-version_id,Retrieve a specific transactional template version.,**This endpoint allows you to retrieve a specific version of a template.**,1,False,200,datasets\openapi\sendgrid\openapi.json,True,False
sendgrid_GET_whitelabel_links_id,sendgrid,GET,/whitelabel/links/{id},GET_whitelabel-links-id,Retrieve a branded link,"**This endpoint allows you to retrieve a specific branded link by providing its ID.**

You can submit this request as one of your subusers if you include their ID in the `on-behalf-of` header in the request.",1,False,200,datasets\openapi\sendgrid\openapi.json,True,False
sendgrid_PATCH_scopes_requests_request_id_approve,sendgrid,PATCH,/scopes/requests/{request_id}/approve,PATCH_v3-scopes-requests-approve-id,Approve access request,"**This endpoint allows you to approve an access attempt.**

**Note:** Only teammate admins may approve another teammate’s access request.",0,False,200|401|404,datasets\openapi\sendgrid\openapi.json,True,False
spotify_GET_me_player_devices,spotify,GET,/me/player/devices,get-a-users-available-devices,"Get Available Devices
","Get information about a user’s available devices.
",0,False,200|401|403|429,datasets\openapi\spotify\openapi.json,True,False
sendgrid_GET_subusers_stats,sendgrid,GET,/subusers/stats,GET_subusers-stats,Retrieve email statistics for your subusers.,"**This endpoint allows you to retrieve the email statistics for the given subusers.**

You may retrieve statistics for up to 10 different subusers by including an additional _subusers_ parameter for each additional subuser.",6,False,200,datasets\openapi\sendgrid\openapi.json,True,False
sendgrid_POST_marketing_contacts_batch,sendgrid,POST,/marketing/contacts/batch,POST_marketing-contacts-batch,Get Batched Contacts by IDs,"**This endpoint is used to retrieve a set of contacts identified by their IDs.**

This can be more efficient endpoint to get contacts than making a series of individual `GET` requests to the ""Get a Contact by ID"" endpoint.

You can supply up to 100 IDs. Pass them into the `ids` field in your request body as an array or one or more strings.

Twilio SendGrid recommends exporting your contacts regularly as a backup to avoid issues or lost data.",0,True,200|401|403|404|500,datasets\openapi\sendgrid\openapi.json,True,True
spotify_GET_browse_categories_category_id_playlists,spotify,GET,/browse/categories/{category_id}/playlists,get-a-categories-playlists,"Get Category's Playlists
","Get a list of Spotify playlists tagged with a particular category.
",4,False,200|401|403|429,datasets\openapi\spotify\openapi.json,True,True
spotify_GET_browse_categories_category_id,spotify,GET,/browse/categories/{category_id},get-a-category,"Get Single Browse Category
","Get a single category used to tag items in Spotify (on, for example, the Spotify player’s “Browse” tab).
",3,False,200|401|403|429,datasets\openapi\spotify\openapi.json,True,True
spotify_PUT_me_player_play,spotify,PUT,/me/player/play,start-a-users-playback,"Start/Resume Playback
","Start a new context or resume current playback on the user's active device.
",1,True,204|401|403|429,datasets\openapi\spotify\openapi.json,True,True
sendgrid_POST_asm_groups_group_id_suppressions,sendgrid,POST,/asm/groups/{group_id}/suppressions,POST_asm-groups-group_id-suppressions,Add suppressions to a suppression group,"**This endpoint allows you to add email addresses to an unsubscribe group.**

If you attempt to add suppressions to a group that has been deleted or does not exist, the suppressions will be added to the global suppressions list.",1,True,201,datasets\openapi\sendgrid\openapi.json,True,False
sendgrid_GET_browsers_stats,sendgrid,GET,/browsers/stats,GET_browsers-stats,Retrieve email statistics by browser.,"**This endpoint allows you to retrieve your email statistics segmented by browser type.**

**We only store up to 7 days of email activity in our database.** By default, 500 items will be returned per request via the Advanced Stats API endpoints.

Advanced Stats provide a more in-depth view of your email statistics and the actions taken by your recipients. You can segment these statistics by geographic location, device type, client type, browser, and mailbox provider. For more information about statistics, please see our [Statistics Overview](https://sendgrid.com/docs/ui/analytics-and-reporting/stats-overview/).",7,False,200,datasets\openapi\sendgrid\openapi.json,True,False
sendgrid_DELETE_marketing_singlesends_id_schedule,sendgrid,DELETE,/marketing/singlesends/{id}/schedule,DELETE_marketing-singlesends-id-schedule,Delete Single Send Schedule,"**This endpoint allows you to cancel a scheduled Single Send using a Single Send ID.**

Making a DELETE request to this endpoint will cancel the scheduled sending of a Single Send. The request will not delete the Single Send itself. Deleting a Single Send can be done by passing a DELETE request to `/marketing/singlesends/{id}`.",0,False,200|404|500,datasets\openapi\sendgrid\openapi.json,True,False
sendgrid_DELETE_subusers_subuser_name_monitor,sendgrid,DELETE,/subusers/{subuser_name}/monitor,DELETE_subusers-subuser_name-monitor,Delete monitor settings,,0,False,204|401|404,datasets\openapi\sendgrid\openapi.json,True,False
spotify_GET_audiobooks_id_chapters,spotify,GET,/audiobooks/{id}/chapters,get-audiobook-chapters,"Get Audiobook Chapters
","Get Spotify catalog information about an audiobook's chapters.<br />
**Note: Audiobooks are only available for the US, UK, Ireland, New Zealand and Australia markets.**
",4,False,200|401|403|429,datasets\openapi\spotify\openapi.json,True,False
sendgrid_DELETE_sso_certificates_cert_id,sendgrid,DELETE,/sso/certificates/{cert_id},DELETE_sso-certificates-cert_id,Delete an SSO Certificate,"**This endpoint allows you to delete an SSO certificate.**

You can retrieve a certificate's ID from the response provided by the ""Get All SSO Integrations"" endpoint.",0,False,200|400|401|403|429|500,datasets\openapi\sendgrid\openapi.json,True,False
sendgrid_DELETE_api_keys_api_key_id,sendgrid,DELETE,/api_keys/{api_key_id},DELETE_api_keys-api_key_id,Delete API keys,"**This endpoint allows you to revoke an existing API Key using an `api_key_id`**

Authentications using a revoked API Key will fail after after some small propogation delay. If the API Key ID does not exist, a `404` status will be returned.",1,False,204|400|401|403|404|500,datasets\openapi\sendgrid\openapi.json,True,False
sendgrid_POST_user_scheduled_sends,sendgrid,POST,/user/scheduled_sends,POST_user-scheduled_sends,Cancel or pause a scheduled send,"**This endpoint allows you to cancel or pause a scheduled send associated with a `batch_id`.**

Passing this endpoint a `batch_id` and status will cancel or pause the scheduled send.

Once a scheduled send is set to `pause` or `cancel` you must use the ""Update a scheduled send"" endpoint to change its status or the ""Delete a cancellation or pause from a scheduled send"" endpoint to remove the status. Passing a status change to a scheduled send that has already been paused or cancelled will result in a `400` level status code.

If the maximum number of cancellations/pauses are added to a send, a `400` level status code will be returned.",1,True,201|400|401|403|404|500,datasets\openapi\sendgrid\openapi.json,True,False
sendgrid_GET_teammates_pending,sendgrid,GET,/teammates/pending,GET_v3-teammates-pending,Retrieve all pending teammates,"**This endpoint allows you to retrieve a list of all pending Teammate invitations.**

Each teammate invitation is valid for 7 days. Users may resend the invitation to refresh the expiration date.",1,False,200,datasets\openapi\sendgrid\openapi.json,True,False
sendgrid_GET_user_credits,sendgrid,GET,/user/credits,GET_user-credits,Retrieve your credit balance,"**This endpoint allows you to retrieve the current credit balance for your account.**

Each account has a credit balance, which is a base number of emails it can send before receiving per-email charges. For more information about credits and billing, see [Billing and Plan details information](https://sendgrid.com/docs/ui/account-and-settings/billing/).",1,False,200,datasets\openapi\sendgrid\openapi.json,True,False
sendgrid_DELETE_whitelabel_ips_id,sendgrid,DELETE,/whitelabel/ips/{id},DELETE_whitelabel-ips-id,Delete a reverse DNS record,"**This endpoint allows you to delete a reverse DNS record.**

A call to this endpoint will respond with a 204 status code if the deletion was successful.

You can retrieve the IDs associated with all your reverse DNS records using the ""Retrieve all reverse DNS records"" endpoint.",1,False,204,datasets\openapi\sendgrid\openapi.json,True,False
