operation_uid,api_name,method,path,operation_id,summary,description,parameters_count,has_request_body,response_codes,source_file,selected_for_experiment,selected_for_pilot
sendgrid_GET_mail_settings_forward_bounce,sendgrid,GET,/mail_settings/forward_bounce,GET_mail_settings-forward_bounce,Retrieve forward bounce mail settings,"**This endpoint allows you to retrieve your current bounce forwarding mail settings.**

Enabling the Forward Bounce setting allows you to specify `email` addresses to which bounce reports will be forwarded. This endpoint returns the email address you have set to receive forwarded bounces and an `enabled` status indicating if the setting is active.",1,False,200|400|401|403|404|500,datasets\openapi\sendgrid\openapi.json,True,True
sendgrid_GET_scopes,sendgrid,GET,/scopes,GET_scopes,Retrieve a list of scopes for which this user has access.,"**This endpoint returns a list of all scopes that this user has access to.**

API Keys are used to authenticate with [SendGrid's v3 API](https://sendgrid.api-docs.io/v3.0/how-to-use-the-sendgrid-v3-api/api-authorization).

API Keys may be assigned certain permissions, or scopes, that limit which API endpoints they are able to access.

This endpoint returns all the scopes assigned to the key you use to authenticate with it. To retrieve the scopes assigned to another key, you can pass an API key ID to the ""Retrieve an existing API key"" endpoint.

For a more detailed explanation of how you can use API Key permissions, please visit our [API Keys documentation](https://sendgrid.com/docs/ui/account-and-settings/api-keys/).",1,False,200|401|403|404|500,datasets\openapi\sendgrid\openapi.json,True,True
sendgrid_POST_senders_sender_id_resend_verification,sendgrid,POST,/senders/{sender_id}/resend_verification,POST_v3-senders-sender_id-resend_verification,Resend Sender Identity Verification,**This enpdoint allows you to resend a sender identity verification email.**,1,False,204|400|404,datasets\openapi\sendgrid\openapi.json,True,True
spotify_DELETE_playlists_playlist_id_tracks,spotify,DELETE,/playlists/{playlist_id}/tracks,remove-tracks-playlist,"Remove Playlist Items
","Remove one or more items from a user's playlist.
",1,True,200|401|403|429,datasets\openapi\spotify\openapi.json,True,True
sendgrid_POST_validations_email,sendgrid,POST,/validations/email,POST_validations-email,Validate an email,**This endpoint allows you to validate an email address.**,0,True,200,datasets\openapi\sendgrid\openapi.json,True,True
sendgrid_GET_campaigns_campaign_id_schedules,sendgrid,GET,/campaigns/{campaign_id}/schedules,GET_campaigns-campaign_id-schedules,View Scheduled Time of a Campaign,**This endpoint allows you to retrieve the date and time that a campaign has been scheduled to be sent.**,1,False,200|404,datasets\openapi\sendgrid\openapi.json,True,True
sendgrid_GET_marketing_contacts,sendgrid,GET,/marketing/contacts,GET_mc-contats,Get Sample Contacts,"**This endpoint will return up to 50 of the most recent contacts uploaded or attached to a list**. 

This list will then be sorted by email address.

The full contact count is also returned.

Please note that pagination of the contacts has been deprecated.

Twilio SendGrid recommends exporting your contacts regularly as a backup to avoid issues or lost data.",0,False,200|400|401|403|404|500,datasets\openapi\sendgrid\openapi.json,True,True
sendgrid_GET_sso_integrations_integration_id_certificates,sendgrid,GET,/sso/integrations/{integration_id}/certificates,GET_sso-integrations-integration_id-certificates,Get All SSO Certificates by Integration,"**This endpoint allows you to retrieve all your IdP configurations by configuration ID.**

The `integration_id` expected by this endpoint is the `id` returned in the response by the ""Get All SSO Integrations"" endpoint.",0,False,200|400|401|403|429|500,datasets\openapi\sendgrid\openapi.json,True,True
spotify_GET_me_following_contains,spotify,GET,/me/following/contains,check-current-user-follows,"Check If User Follows Artists or Users
","Check to see if the current user is following one or more artists or other Spotify users.
",2,False,200|401|403|429,datasets\openapi\spotify\openapi.json,True,True
spotify_GET_browse_categories_category_id_playlists,spotify,GET,/browse/categories/{category_id}/playlists,get-a-categories-playlists,"Get Category's Playlists
","Get a list of Spotify playlists tagged with a particular category.
",4,False,200|401|403|429,datasets\openapi\spotify\openapi.json,True,True
